Quarter,Year,Parking Spaces,8:00 AM,9:00 AM,10:00 AM,11:00 AM,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,Empty Spaces,Occupied Spaces,% Occupied
Summer,2016,19297,12522,10203,7996,6749,6567,6825,6871,7659,9232,11474,6567,12730,65.97%
Fall,2016,19245,10113,7353,4948,3842,3612,3578,3817,4491,6456,9162,3578,15667,81.41%
Winter,2017,18316,9058,6313,4109,2908,2691,2808,2777,3441,4990,7342,2691,15625,85.31%
Spring,2017,18334,10061,7284,4501,3322,3096,3096,3133,3802,5296,7305,3096,15238,83.11%
Summer,2017,18082,11093,8724,6586,5332,5050,5358,5351,6051,7693,9749,5050,13032,72.07%
Fall,2017,18011,8471,5820,3587,2581,2313,2428,2475,3241,4675,6293,2313,15698,87.16%
Winter,2018,18105,7690,5301,3458,2523,2385,2540,2582,3243,4612,6226,2385,15720,86.83%
Spring,2018,18092,7951,5556,3562,2636,2504,2551,2687,3316,4708,6348,2504,15588,86.16%
Summer,2018,17107,10718,8237,5851,4755,4466,4624,4704,5173,5929,6757,4466,12641,74.00%
Fall,2018,17408,8570,6157,4333,3339,3052,3053,3256,3542,4336,5150,3052,14356,82.47%
Winter,2019,18643,10254,6628,4155,3050,2887,2769,3028,3371,4196,5320,2769,15874,85.00%
Spring,2019,18660,8822,6166,3921,3091,2936,2952,3120,3760,4917,6304,2936,15724,84.27%
Summer,2019,18400,8964,6673,4900,4107,4024,4118,4378,5363,6919,8574,4024,14376,78.00%
Fall,2019,19381,9953,7287,5032,3773,3749,3925,4007,5219,6646,9860,3749,15632,80.66%
Winter,2020,18324,6613,4645,3034,1875,1721,1725,1900,2819,3914,5522,1721,16603,90.61%
Spring,2020,18608,13559,12165,11583,11275,11376,11339,11424,12018,12688,13719,11275,7333,39.41%
Summer,2020,18495,12583,11358,10502,10274,10499,10429,10519,11182,11888,12765,10274,8221,44.45%
Fall,2020,18066,12288,10973,10035,9618,9602,9149,9230,9744,10603,11578,9149,8917,49.36%
Winter,2021,18132,9777,8487,7970,7649,7418,7480,7609,8198,9252,10367,7418,10714,59.09%
Spring,2021,18157,9453,8029,7203,6819,7025,6775,7014,7412,8480,9502,6775,11382,62.69%
Summer,2021,17933 ,10674 ,8722 ,7686 ,7553 ,7910 ,7614 ,7760 ,8147 ,9493 ,9945 ,7553 ,10380 ,58.00%
Fall,2021,18248,9857,7994,6719,6109,5795,5784,6258,6459,7242,8368,5784,12464,68.30%
Winter,2022,18351,9171,8313,6964,6435,6353,6270,6200,6781,7721,9285,6200,12151,66.21%
Spring,2022,18478,8388,5918,4334,3787,3825,3700,3797,4944,6887,8407,3700,14778,79.98%
Summer,2022,18726,10881,9344,8044,7558,7595,7655,7768,8831,10169,11501,7558,11168,60.00%
Fall,2022,18652,8182,5937,4368,3955,3870,4041,4597,5449,6880,8260,3870,14782,79.25%
Winter,2023,18926,9331,6969,5233,4069,3903,3961,4076,4882,6876,8713,3903,15023,79.00%
Spring,2023,18739,9410,6686,4806,3807,3535,3462,3535,4446,6304,8797,3462,15277,82.00%
Summer,2023,18352,10281,7897,6402,5685,6540,6539,6953,8021,9889,11844,5685,12667,69.02%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,